Source,Target,Direction,Mean_Rho,Std_Rho,CI_Lower,CI_Upper,Library_Size
X1,X2,X1 → X2,0.912048195,0.0002756345233728814,0.91170421,0.912545295,250
X2,X1,X2 → X1,0.912048195,0.0002756345233728814,0.91170421,0.912545295,250
X1,X3,X1 → X3,0.9984043149999999,1.782872050935423e-05,0.9983678699999999,0.9984301950000001,250
X3,X1,X3 → X1,0.9984043149999999,1.782872050935423e-05,0.9983678699999999,0.9984301950000001,250
X1,X4,X1 → X4,-0.072035425,0.0010395700798286767,-0.07413986,-0.070542985,250
X4,X1,X4 → X1,-0.072035425,0.0010395700798286767,-0.07413986,-0.070542985,250
X2,X3,X2 → X3,0.945982385,0.0018266126883592446,0.9418205375,0.9466735699999999,250
X3,X2,X3 → X2,0.945982385,0.0018266126883592446,0.9418205375,0.9466735699999999,250
X2,X4,X2 → X4,0.4764115500000001,0.0024027288420668848,0.47172788749999994,0.4796872275,250
X4,X2,X4 → X2,0.4764115500000001,0.0024027288420668848,0.47172788749999994,0.4796872275,250
X3,X4,X3 → X4,-0.043650285,0.0018258031879901501,-0.047019055,-0.040700129999999994,250
X4,X3,X4 → X3,-0.043650285,0.0018258031879901501,-0.047019055,-0.040700129999999994,250
