Source,Target,Direction_X_Y,Direction_Y_X,Library_Size,X_predicts_Y,Y_predicts_X
X1,X2,X1 → X2,X2 → X1,50.0,0.9307562,0.958977
X1,X2,X1 → X2,X2 → X1,100.0,0.9781475999999999,0.9830975999999998
X1,X2,X1 → X2,X2 → X1,150.0,0.9959963000000001,0.9981051000000001
X1,X2,X1 → X2,X2 → X1,200.0,0.9976421999999999,0.9990918999999999
X1,X2,X1 → X2,X2 → X1,250.0,0.9978675,0.9992430000000002
X1,X3,X1 → X3,X3 → X1,50.0,0.9308099000000002,0.9585290999999999
X1,X3,X1 → X3,X3 → X1,100.0,0.9781487000000003,0.9826840999999997
X1,X3,X1 → X3,X3 → X1,150.0,0.9959794000000002,0.9977563999999998
X1,X3,X1 → X3,X3 → X1,200.0,0.9976162999999997,0.9988534000000001
X1,X3,X1 → X3,X3 → X1,250.0,0.9978364,0.9989549000000002
X1,X4,X1 → X4,X4 → X1,50.0,-0.0303027,-0.0320575
X1,X4,X1 → X4,X4 → X1,100.0,-0.04314640000000001,-0.051540899999999994
X1,X4,X1 → X4,X4 → X1,150.0,-0.0566454,-0.0673134
X1,X4,X1 → X4,X4 → X1,200.0,-0.0644849,-0.07718989999999999
X1,X4,X1 → X4,X4 → X1,250.0,-0.07194110000000001,-0.0914304
X2,X3,X2 → X3,X3 → X2,50.0,0.9977123,0.9977358000000001
X2,X3,X2 → X3,X3 → X2,100.0,0.9889106000000002,0.9886916000000001
X2,X3,X2 → X3,X3 → X2,150.0,0.9996550000000001,0.9996626000000001
X2,X3,X2 → X3,X3 → X2,200.0,0.9997475999999997,0.9997651000000001
X2,X3,X2 → X3,X3 → X2,250.0,0.9997979999999999,0.9998090000000001
X2,X4,X2 → X4,X4 → X2,50.0,-0.0258684,-0.0314517
X2,X4,X2 → X4,X4 → X2,100.0,-0.0339941,-0.0514562
X2,X4,X2 → X4,X4 → X2,150.0,-0.0431496,-0.06668769999999999
X2,X4,X2 → X4,X4 → X2,200.0,-0.0489302,-0.08141580000000001
X2,X4,X2 → X4,X4 → X2,250.0,-0.0509586,-0.09790900000000002
X3,X4,X3 → X4,X4 → X3,50.0,-0.023548699999999995,-0.0314109
X3,X4,X3 → X4,X4 → X3,100.0,-0.029379699999999998,-0.051206299999999996
X3,X4,X3 → X4,X4 → X3,150.0,-0.037454999999999995,-0.0664439
X3,X4,X3 → X4,X4 → X3,200.0,-0.0382643,-0.08117390000000001
X3,X4,X3 → X4,X4 → X3,250.0,-0.04229609999999999,-0.0976891
